#day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
47.3825659204,99780.8094980157,200486.104492596,236447.71914714,156269.59560591,119934.570435603,179163.937854542,222462.069034363,245538.389054593,252877.220991223,171850.847749615,271233.313320855,105321.489868731,420438.902864606,309771.196221075,186961.595555587,236850.638031342,277660.95372645,238615.690328083,761146.445803786,130384.759497737,355414.337049214,274905.896528758,158751.244331048,297042.91690728,96269.6108099468,270416.828002982
49.9474510807,99782.6096583013,200489.537974875,236452.265194208,156272.471262267,119937.000800067,179167.397921507,222465.778122051,245542.019612592,252881.506503165,171853.488272413,271237.371265168,105323.540760873,420445.35956645,309776.466027429,186964.735656338,236854.410751786,277664.840397985,238619.110104509,761156.487563041,130386.568883299,355420.207810362,274909.888635889,158753.579779729,297047.199385782,96271.7965698854,270422.393342466
52.4367385626,99783.8785432014,200491.966913089,236455.455142523,156274.494285254,119938.700605782,179169.827441531,222468.405806425,245544.609719137,252884.537747292,171855.368737999,271240.264663607,105324.977796172,420449.9588569,309780.192628319,186966.958839315,236857.089954832,277667.625550845,238621.555286883,761163.710924692,130387.86625208,355424.369695416,274912.742349627,158755.24730247,297050.260669973,96273.3149062189,270426.279558187
54.814102753,99784.7865273488,200493.709628084,236457.72941956,156275.939444344,119939.909384791,179171.560413918,222470.293230511,245546.480369856,252886.712421764,171856.724922071,271242.353520225,105326.001172261,420453.276405767,309782.865698708,186968.555023205,236859.018036963,277669.644123706,238623.324380973,761168.961560841,130388.806972884,355427.360726254,274914.806703732,158756.452472494,297052.475193287,96274.3888611058,270429.039745299
57.0865159304,99785.4546100811,200494.994835156,236459.398204281,156277.001517689,119940.794598568,179172.832545167,222471.686419978,245547.866996381,252888.316032475,171857.729142835,271243.901333902,105326.751469006,420455.73335171,309784.836471293,186969.732651356,236860.443289018,277671.144433171,238624.637581437,761172.873486782,130389.506459732,355429.569295962,274916.33882694,158757.346234504,297054.118750891,96275.1720847358,270431.0592097
59.2702896708,99785.959714174,200495.968077594,236460.657080129,156277.803712666,119941.461326724,179173.792510598,222472.742203034,245548.921438691,252889.530390793,171858.492074586,271245.077968957,105327.317063736,420457.600183207,309786.32874783,186970.624899377,236861.524657628,277672.287743195,238625.637202502,761175.85979624,130390.039648294,355431.243587482,274917.50490829,158758.026082575,297055.369665685,96275.760039443,270432.578930184
61.3805325716,99786.3502203909,200496.721667359,236461.62874036,156278.423507328,119941.975278968,179174.533640344,222473.560149669,245549.740495477,252890.470593029,171859.084320365,271245.991784301,105327.75339756,420459.049485417,309787.484012044,186971.315942534,236862.363145407,277673.17736706,238626.414355901,761178.186874972,130390.454706826,355432.541192379,274918.411562512,158758.554460668,297056.342180426,96276.2120934818,270433.749862107
63.4294008532,99786.6577365981,200497.315702338,236462.392758759,156278.911252985,119942.379009025,179175.116513167,222474.205151748,245550.38787201,252891.211741537,171859.552162974,271246.713904164,105328.096319584,420460.194235254,309788.394598298,186971.860832579,236863.024931608,277673.881437331,238627.029101681,761180.031135489,130390.7831803,355433.564586766,274919.128461519,158758.972101409,297057.111295922,96276.5664066298,270434.669013351
65.4263820622,99786.9034769941,200497.790794227,236463.002561969,156279.300664005,119942.700937446,179175.5817251,222474.721255924,245550.906700189,252891.804425162,171859.926930357,271247.292585663,105328.369901917,420461.111531047,309789.122746024,186972.296689277,236863.55471997,277674.446387997,238627.522016626,761181.512093208,130391.046836056,355434.383551855,274919.703399597,158759.30693506,297057.727986024,96276.8484542152,270435.401809261
67.3788751559,99787.1021745011,200498.17522584,236463.495100436,156279.615505306,119942.960818147,179175.957632131,222475.138983872,245551.327285508,252892.284021271,171860.230620448,271247.761619644,105328.590838362,420461.854811514,309789.711940022,186972.649450232,236863.983755655,277674.904780852,238627.921802843,761182.714812006,130391.260782302,355435.046538733,274920.169655927,158759.578396767,297058.228118742,96277.0758309529,270435.993079589
69.2926992009,99787.264417543,200498.48933705,236463.896993206,156279.872477654,119943.17272534,179176.264357447,222475.480376525,245551.671440076,252892.675876908,171860.479044121,271248.145373732,105328.771059353,420462.462866325,309790.193315525,186972.937723971,236864.334548722,277675.280155824,238628.249058572,761183.700353346,130391.43600415,355435.588446919,274920.551306928,158759.800555919,297058.637514677,96277.2610084335,270436.47511616
71.1724819058,99787.3979831772,200498.748062628,236464.227631138,156280.083966273,119943.346992801,179176.516731699,222475.761648046,245551.955261319,252892.998635779,171860.683870009,271248.461834998,105328.919298953,420462.964208089,309790.589797069,186973.175198012,236864.623648728,277675.589931039,238628.519034499,761184.514095452,130391.580620176,355436.034950408,274920.866143683,158759.983792252,297058.975229172,96277.4131473257,270436.871421394
73.021946304,99787.508703789,200498.962627239,236464.501559615,156280.259235966,119943.491313037,179176.725836448,222475.99494106,245552.190879426,252893.266295768,171860.853866818,271248.724519782,105329.042089818,420463.380316499,309790.918583175,186973.372155286,236864.8635066,277675.847223918,238628.743212904,761185.190346594,130391.700746309,355436.405326238,274921.127579606,158760.135922803,297059.25565359,96277.5390329876,270437.199560162
75,99787.6082560805,200499.155625587,236464.747743526,156280.416797161,119943.620972453,179176.913777898,222476.204822136,245552.403006624,252893.507050793,171861.006886617,271248.961007716,105329.15242891,420463.75488354,309791.214315445,186973.54933347,236865.079351634,277676.078981016,238628.945084726,761185.79969088,130391.808957998,355436.738556333,274921.362993139,158760.272896805,297059.508173502,96277.6520498837,270437.494310656
